,,,,,,,01/01/2017
code,name,description,refreshed_at,from_date,to_date,,Start Date
DSC1,Dutch Star C Shar (DSC1),Stock Prices for Dutch Star C Shar from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,22/02/2018,09/01/2019,,FALSE
DSC1W,Dutch Star C War (DSC1W),Stock Prices for Dutch Star C War from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,26/02/2018,09/01/2019,,FALSE
DSM,Dsm Kon (DSM),Stock Prices for Dsm Kon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DSMEN,Mends15(0 21976p1) (DSMEN),Stock Prices for Mends15(0 21976p1) from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,22/12/2015 15:58,11/12/2015,21/12/2015,,TRUE
DSVC,Dsv (DSVC),Stock Prices for Dsv from the Euronext Stock Exchange. Currency: DKK. Market: Arca Europe,12/12/2014 20:33,01/02/2013,01/02/2013,,TRUE
DSY,Dassault Systemes (DSY),Stock Prices for Dassault Systemes from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DSYNV,Dassault Sys Nv18 (DSYNV),Stock Prices for Dassault Sys Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,28/05/2018 17:15,28/05/2014,28/05/2018,,TRUE
DTED,Deutsche Telekom (DTED),Stock Prices for Deutsche Telekom from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:34,14/02/2014,02/05/2014,,TRUE
DTEL,Deutsche Telekom (DTEL),Stock Prices for Deutsche Telekom from the Euronext Stock Exchange. Currency: EUR. Market: Traded not listed Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DUC,Duc (DUC),Stock Prices for Duc from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,19/04/2017 16:01,14/02/2014,12/04/2017,,TRUE
DUED,Duerr (DUED),Stock Prices for Duerr from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,11/06/2013,11/06/2013,,TRUE
DUPP,Du Pont De Nemours (DUPP),Stock Prices for Du Pont De Nemours from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,23/03/2016 15:58,14/02/2014,22/03/2016,,TRUE
DVBSI,Adciici122014 (DVBSI),Stock Prices for Adciici122014 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,16/12/2014 21:21,01/08/2014,01/08/2014,,TRUE
DVOL,Devro (DVOL),Stock Prices for Devro from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:30,02/08/2013,02/08/2013,,TRUE
DVT,Devoteam (DVT),Stock Prices for Devoteam from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
DVTNV,Devoteam Nv (DVTNV),Stock Prices for Devoteam Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,29/06/2015 15:58,16/05/2014,12/06/2015,,TRUE
DWNID,Deutsche Wohnen P (DWNID),Stock Prices for Deutsche Wohnen P from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,15/08/2013,15/08/2013,,TRUE
DXNSL,Dixons Retail Plc (DXNSL),Stock Prices for Dixons Retail Plc from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:28,30/08/2013,30/08/2013,,TRUE
EAS2P,Ease2pay Nv (EAS2P),Stock Prices for Ease2pay Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,01/03/2018,10/01/2019,,FALSE
EBPF,Fin Etang Berre Pf (EBPF),Stock Prices for Fin Etang Berre Pf from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,29/01/2014,21/12/2018,,TRUE
EBROE,Ebro Foods (EBROE),Stock Prices for Ebro Foods from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:36,12/05/2011,12/05/2011,,TRUE
EBSV,Erste Group Bank (EBSV),Stock Prices for Erste Group Bank from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,03/07/2013,03/07/2013,,TRUE
EC,Total Gabon (EC),Stock Prices for Total Gabon from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ECASA,Eca (ECASA),Stock Prices for Eca from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ECML,Electrocomponents (ECML),Stock Prices for Electrocomponents from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,29/08/2013,29/08/2013,,TRUE
ECMPA,Eurocommercial (ECMPA),"Stock Prices for Eurocommercial from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam, Brussels",10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ECOD,Ecodis (ECOD),Stock Prices for Ecodis from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Alternext Brussels,10/03/2014 19:20,14/02/2014,07/03/2014,,TRUE
ECONB,Econocom Group (ECONB),Stock Prices for Econocom Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ECP,Europacorp (ECP),Stock Prices for Europacorp from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ECRNR,Eurofins Cerep Nr (ECRNR),Stock Prices for Eurofins Cerep Nr from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,02/07/2015 15:58,31/12/2014,01/07/2015,,TRUE
ECRT,Eurofins Cerep (ECRT),Stock Prices for Eurofins Cerep from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Growth Paris,26/07/2017 15:58,26/07/2017,26/07/2017,,FALSE
ECT,Eurocastle Invest (ECT),Stock Prices for Eurocastle Invest from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ECWOL,Ecofin Wat&pow Opp (ECWOL),Stock Prices for Ecofin Wat&pow Opp from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:28,18/06/2010,18/06/2010,,TRUE
EDEN,Edenred (EDEN),Stock Prices for Edenred from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EDENV,Edenred Nv (EDENV),Stock Prices for Edenred Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,11/05/2017 15:58,06/05/2015,11/05/2017,,TRUE
EDEX5,Edenred Nov5 (EDEX5),Stock Prices for Edenred Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/10/2015 15:58,03/11/2014,03/11/2014,,TRUE
EDF,Edf (EDF),Stock Prices for Edf from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EDFDS,Edf Ds (EDFDS),Stock Prices for Edf Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,17/03/2017 16:45,08/03/2017,16/03/2017,,FALSE
EDI,Media 6 (EDI),Stock Prices for Media 6 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EDINL,Edinburgh Investme (EDINL),Stock Prices for Edinburgh Investme from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:29,31/05/2013,31/05/2013,,TRUE
EDL,Euro Disney (EDL),Stock Prices for Euro Disney from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,16/06/2017 16:03,14/02/2014,12/06/2017,,TRUE
EDLDS,Euro Disney Ds (EDLDS),Stock Prices for Euro Disney Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,08/02/2015 17:07,19/01/2015,06/02/2015,,TRUE
EDP,Edp (EDP),Stock Prices for Edp from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EDPR,Edp Renovaveis (EDPR),Stock Prices for Edp Renovaveis from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EEM,Elec Madagascar (EEM),Stock Prices for Elec Madagascar from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,30/01/2017 15:58,14/02/2014,27/01/2017,,TRUE
EFGNZ,Efg International (EFGNZ),Stock Prices for Efg International from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:30,21/03/2012,21/03/2012,,TRUE
EFI,Eurasia Fonc Inv (EFI),Stock Prices for Eurasia Fonc Inv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,07/01/2019,,TRUE
EFML,Edinburgh Dragon (EFML),Stock Prices for Edinburgh Dragon from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:34,09/08/2013,09/08/2013,,TRUE
EGL,Mota Engil (EGL),Stock Prices for Mota Engil from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EGPWM,Enel Green Power (EGPWM),Stock Prices for Enel Green Power from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,23/04/2013,23/04/2013,,TRUE
EHTBS,Diaxonhit Bsa (EHTBS),Stock Prices for Diaxonhit Bsa from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,14/12/2014 17:07,14/02/2014,12/12/2014,,TRUE
EI,Essilor Intl (EI),Stock Prices for Essilor Intl from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,01/10/2018 17:15,14/02/2014,01/10/2018,,TRUE
EIFBS,Tour Eiffel Bs (EIFBS),Stock Prices for Tour Eiffel Bs from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,29/07/2016 15:58,04/05/2015,04/06/2015,,TRUE
EIFDS,Tour Eiffel Ds (EIFDS),Stock Prices for Tour Eiffel Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,07/12/2016 15:58,28/11/2016,06/12/2016,,TRUE
EIFF,Tour Eiffel (EIFF),Stock Prices for Tour Eiffel from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EIFFT,Tour Eiffel Ex (EIFFT),Stock Prices for Tour Eiffel Ex from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,15/09/2014 17:05,05/08/2014,15/09/2014,,TRUE
EIL1I,Aer Lingus (EIL1I),Stock Prices for Aer Lingus from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,30/08/2012,30/08/2012,,TRUE
EIM5,Essilor Intl Jun5 (EIM5),Stock Prices for Essilor Intl Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,17/05/2015 16:00,23/05/2014,23/05/2014,,TRUE
EINV,Essilor Nv (EINV),Stock Prices for Essilor Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,16/05/2017 16:14,02/05/2014,16/05/2017,,TRUE
EITM,Ei Towers (EITM),Stock Prices for Ei Towers from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:28,10/05/2013,10/05/2013,,TRUE
EIX5,Essilor Intl Nov5 (EIX5),Stock Prices for Essilor Intl Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/10/2015 15:58,29/10/2014,29/10/2014,,TRUE
EKI,Ekinops (EKI),Stock Prices for Ekinops from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EKIDS,Ekinops Ds (EKIDS),Stock Prices for Ekinops Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,21/07/2017 15:58,13/10/2016,21/07/2017,,TRUE
EKTABS,Elekta B (EKTABS),Stock Prices for Elekta B from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:31,31/01/2013,31/01/2013,,TRUE
EL,Essilorluxottica (EL),Stock Prices for Essilorluxottica from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,02/10/2018,10/01/2019,,FALSE
ELE,Euler Hermes Group (ELE),Stock Prices for Euler Hermes Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,26/04/2018 17:15,14/02/2014,20/04/2018,,TRUE
ELEC,Elec Strasbourg (ELEC),Stock Prices for Elec Strasbourg from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ELEE,Endesa (ELEE),Stock Prices for Endesa from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:33,23/01/2013,23/01/2013,,TRUE
ELI,Elia (ELI),Stock Prices for Elia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ELI1VH,Elisa Corporation (ELI1VH),Stock Prices for Elisa Corporation from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,07/03/2013,07/03/2013,,TRUE
ELIDS,Elis Ds (ELIDS),Stock Prices for Elis Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,01/02/2017 15:58,23/01/2017,31/01/2017,,FALSE
ELINV,Elior Nv (ELINV),Stock Prices for Elior Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,07/04/2017 15:58,21/11/2014,04/04/2017,,TRUE
ELIOR,Elior Group (ELIOR),Stock Prices for Elior Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,11/06/2014,10/01/2019,,TRUE
ELIS,Elis (ELIS),Stock Prices for Elis from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,11/02/2015,10/01/2019,,TRUE
ELML,Elementis (ELML),Stock Prices for Elementis from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:37,24/07/2013,24/07/2013,,TRUE
ELTAL,Electra Private Eq (ELTAL),Stock Prices for Electra Private Eq from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,24/07/2013,24/07/2013,,TRUE
ELUXBS,Electrolux B (ELUXBS),Stock Prices for Electrolux B from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:29,28/02/2013,28/02/2013,,TRUE
EMD,Emd Music (EMD),Stock Prices for Emd Music from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Expert Market,10/01/2019 17:15,11/02/2014,24/07/2018,,TRUE
EME,Emme (EME),Stock Prices for Emme from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,04/12/2015 15:58,13/02/2014,30/11/2015,,TRUE
EMG,Euromedis Groupe (EMG),Stock Prices for Euromedis Groupe from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EMGDS,Eon Motors Grp Ds (EMGDS),Stock Prices for Eon Motors Grp Ds from the Euronext Stock Exchange. Currency: EUR. Market: Marché Libre Paris,17/09/2015 15:58,07/09/2015,07/09/2015,,TRUE
EMGT,Euromedis Ex (EMGT),Stock Prices for Euromedis Ex from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,21/03/2017 15:58,20/02/2017,20/03/2017,,FALSE
EMVDS,Emova Group Ds (EMVDS),Stock Prices for Emova Group Ds from the Euronext Stock Exchange. Currency: EUR. Market: Alternext Paris,03/05/2015 15:59,16/04/2015,28/04/2015,,TRUE
EN,Bouygues (EN),Stock Prices for Bouygues from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ENCE,Ence Energ Y Celul (ENCE),Stock Prices for Ence Energ Y Celul from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:34,23/01/2013,23/01/2013,,TRUE
ENELM,Enel (ENELM),Stock Prices for Enel from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:36,11/06/2013,11/06/2013,,TRUE
ENGB,Rosier (ENGB),Stock Prices for Rosier from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,13/02/2014,10/01/2019,,TRUE
ENGE,Enagas (ENGE),Stock Prices for Enagas from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:32,28/02/2013,28/02/2013,,TRUE
ENGI,Engie (ENGI),"Stock Prices for Engie from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris, Brussels",10/01/2019 17:15,30/07/2015,10/01/2019,,TRUE
ENGM,Engineering Ingegn (ENGM),Stock Prices for Engineering Ingegn from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:34,16/10/2012,16/10/2012,,TRUE
ENGX5,Engie Nov5 (ENGX5),Stock Prices for Engie Nov5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,18/10/2015 15:58,21/11/2014,21/11/2014,,TRUE
ENI,Eni (ENI),Stock Prices for Eni from the Euronext Stock Exchange. Currency: EUR. Market: Traded not listed Brussels,10/01/2019 17:15,13/02/2014,10/01/2019,,TRUE
ENIM,Eni (ENIM),Stock Prices for Eni from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,23/04/2013,23/04/2013,,TRUE
ENIN,4energy Invest (ENIN),Stock Prices for 4energy Invest from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Brussels,09/06/2014 17:02,21/01/2014,06/06/2014,,TRUE
ENINV,4energy Invest (ENINV),Stock Prices for 4energy Invest from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,19/09/2017 15:58,06/06/2014,19/09/2017,,TRUE
ENM5,Bouygues Jun5 (ENM5),Stock Prices for Bouygues Jun5 from the Euronext Stock Exchange. Currency: XXX. Market: Euronext Paris,17/05/2015 15:59,11/06/2014,11/06/2014,,TRUE
ENNV,Bouygues Nv18 (ENNV),Stock Prices for Bouygues Nv18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,01/05/2018 17:15,22/01/2014,25/04/2018,,TRUE
ENQL,Enquest (ENQL),Stock Prices for Enquest from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,28/08/2013,28/08/2013,,TRUE
ENRCL,Eurasian Natural (ENRCL),Stock Prices for Eurasian Natural from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:35,27/08/2013,27/08/2013,,TRUE
ENVI,Envipco (ENVI),"Stock Prices for Envipco from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam, Brussels",10/01/2019 17:15,12/12/2013,10/01/2019,,TRUE
ENX,Euronext (ENX),"Stock Prices for Euronext from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris, Amsterdam, Brussels",10/01/2019 17:15,20/06/2014,10/01/2019,,TRUE
ENXP,EURONEXT (ENXP),Stock Prices for EURONEXT from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Lisbon,28/09/2017 20:31,24/03/2017,30/05/2017,,FALSE
EO,Faurecia (EO),Stock Prices for Faurecia from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EOAND,E On Se (EOAND),Stock Prices for E On Se from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:36,23/08/2013,23/08/2013,,TRUE
EON,E On Se (EON),Stock Prices for E On Se from the Euronext Stock Exchange. Currency: EUR. Market: Traded not listed Brussels,10/01/2019 17:15,23/02/2017,09/01/2019,,FALSE
E_ON,E On Se (E_ON),Stock Prices for E On Se from the Euronext Stock Exchange. Currency: EUR. Market: Traded not listed Amsterdam,24/02/2017 15:58,05/11/2015,23/02/2017,,TRUE
EONV,Faurecia Nv (EONV),Stock Prices for Faurecia Nv from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,31/05/2015 16:00,21/01/2015,18/05/2015,,TRUE
EOS,Acteos (EOS),Stock Prices for Acteos from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EOSI,Eos Imaging (EOSI),Stock Prices for Eos Imaging from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
EPCP,Explos Prod Chi Pf (EPCP),Stock Prices for Explos Prod Chi Pf from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,25/02/2014,28/12/2018,,TRUE
EPS,Electro Power (EPS),Stock Prices for Electro Power from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,22/04/2015,10/01/2019,,TRUE
EPSDS,Electro Power Ds (EPSDS),Stock Prices for Electro Power Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,26/07/2018 17:15,18/07/2018,26/07/2018,,FALSE
ERA,Eramet (ERA),Stock Prices for Eramet from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ERF,Eurofins Scient (ERF),Stock Prices for Eurofins Scient from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ERFBS,Eurofins Bsar17 (ERFBS),Stock Prices for Eurofins Bsar17 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,29/06/2017 15:58,26/02/2014,29/06/2017,,TRUE
ERFNV,Eurofins Scie Nv19 (ERFNV),Stock Prices for Eurofins Scie Nv19 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ERGM,Erg (ERGM),Stock Prices for Erg from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:30,06/12/2012,06/12/2012,,TRUE
ERICBS,Ericsson B (ERICBS),Stock Prices for Ericsson B from the Euronext Stock Exchange. Currency: SEK. Market: Arca Europe,12/12/2014 20:31,06/03/2013,06/03/2013,,TRUE
